selling_price,km_driven,seller_type,transmission,owner,mileage,engine,max_power,seats
158000,140000,Individual,Manual,Third Owner,17.7,1497,78,5
130000,120000,Individual,Manual,First Owner,16.1,1298,88.2,5
440000,45000,Individual,Manual,First Owner,20.14,1197,81.86,5
45000,5000,Individual,Manual,Second Owner,16.1,796,37,4
92000,100000,Individual,Manual,Second Owner,17.3,993,60,5
200000,80000,Individual,Manual,Second Owner,NA,NA,NA,NA
180000,90000,Individual,Manual,Second Owner,18.9,1061,67,5
400000,40000,Individual,Manual,First Owner,18.15,1198,82,5
150000,80000,Individual,Manual,Second Owner,19.7,796,46.3,5
500000,35000,Individual,Manual,First Owner,20.3,1199,83.81,5
575000,45000,Individual,Manual,First Owner,21.4,1197,83.1,5
275000,28000,Individual,Manual,First Owner,24.7,796,47.3,5
220000,120000,Individual,Manual,First Owner,18.9,1061,67,5
254999,25000,Individual,Manual,First Owner,16.8,796,34.2,8
70000,50000,Individual,Manual,Second Owner,NA,NA,NA,NA
150000,35000,Individual,Manual,Second Owner,14,796,35,5
730000,2388,Individual,Manual,First Owner,18.6,1197,81.83,5
366000,15000,Individual,Manual,First Owner,23.95,998,67.1,5
1149000,5000,Individual,Manual,First Owner,17,1591,121.3,5
150000,42000,Individual,Manual,First Owner,20.63,1198,67,5
150000,76000,Individual,Manual,First Owner,16.1,796,37,4
2100000,5000,Individual,Automatic,First Owner,16,1368,160.77,5
190000,110000,Individual,Manual,Third Owner,20.36,1197,78.9,5
600000,25000,Individual,Manual,Third Owner,18.16,1196,86.8,5
650000,30000,Individual,Manual,First Owner,21.4,1197,83.1,5
448000,30000,Individual,Automatic,First Owner,20.51,998,67,5
235000,60000,Individual,Manual,Second Owner,20.36,1197,78.9,5
450000,120000,Individual,Manual,Second Owner,16.02,1373,93.7,7
2500000,30000,Individual,Automatic,Second Owner,15.71,1998,189,5
615000,10000,Individual,Manual,First Owner,21.21,1197,81.8,5
270000,100000,Individual,Manual,Third Owner,15.37,1196,73,7
610000,35000,Individual,Manual,First Owner,21.4,1197,83.1,5
400000,5000,Individual,Manual,Second Owner,19,1194,94.68,5
866000,37800,Individual,Manual,First Owner,17,1591,121.3,5
700000,114000,Individual,Manual,First Owner,14.3,1798,160,5
300000,48000,Individual,Manual,First Owner,15.8,1172,65,5
300000,100000,Individual,Manual,Second Owner,14.53,1798,138.1,5
475000,13000,Individual,Manual,First Owner,21.63,998,67.04,5
